town,buffer,metric,sen_slope_per_decade,qcat,p_upper,p_lower,p_two,baseline_mean,early_mean,late_mean,delta_late_minus_early,question,stressor,survey_col,question_text
Bovill,none,annualanompwd,-75.333022730933,Q1,0.8755,0.1245,0.249,-5.3975342713859694e-15,141.9883990325034,-117.12519046448493,-259.1135894969883,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,10mibuffer,annualanompwd,-60.692424546418884,Q1,0.863,0.137,0.274,-1.0411116413422406e-14,117.10190769328374,-84.54877046649031,-201.65067815977403,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,none,annualanompwd,-62.55504234477905,Q2,0.8555,0.1445,0.289,-5.8194190207435286e-15,126.54256065918428,-91.89759685337614,-218.4401575125604,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,10mibuffer,annualanompwd,-57.40040675660491,Q2,0.844,0.156,0.312,3.1770882221356564e-15,130.35868592997824,-105.94306462781428,-236.3017505577925,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,none,annualanompwd,-52.00326395149417,Q2,0.824,0.176,0.352,8.308168967611588e-16,124.76885481824478,-101.84112604825448,-226.60998086649926,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,10mibuffer,annualanompwd,-38.98870806665688,Q1,0.9925,0.0075,0.015,-7.352451980580099e-15,80.02377368384444,-44.96357953502014,-124.98735321886457,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,none,annualanompwd,-34.67688844370366,Q1,0.988,0.012,0.024,-2.7478019859472624e-15,73.34857170399951,-33.877544554735444,-107.22611625873495,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,10mibuffer,annualanompwd,-41.65974592775244,Q1,0.9925,0.0075,0.015,-9.83287525476347e-15,86.47325676912003,-51.51416135915697,-137.987418128277,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,none,annualanompwd,-40.66504264273242,Q1,0.995,0.005,0.01,4.503804736562719e-15,84.68737136931351,-52.90837591736709,-137.5957472866806,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,10mibuffer,annualeto,37.45095467295179,Q7,0.091,0.909,0.182,971.1702554835656,900.1888201642885,1030.1051033549088,129.91628319062033,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,none,annualeto,40.25824232986479,Q7,0.0865,0.9135,0.173,975.6714700314371,902.3828519260355,1041.7153084785987,139.33245655256314,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,10mibuffer,annualeto,31.754314076987452,Q7,0.097,0.903,0.194,981.8088182766137,922.4157585426389,1027.6843752402444,105.26861669760558,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,none,annualeto,31.500304354935714,Q7,0.101,0.899,0.202,968.7212517429768,907.8622328523817,1016.6250874797903,108.76285462740861,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,10mibuffer,annualeto,22.90238818862101,Q7,0.126,0.874,0.252,954.5309440439117,902.48553568917,995.2467698496254,92.76123416045539,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,none,annualeto,21.046470316393034,Q7,0.1335,0.8665,0.267,956.6993698022638,906.4840319199487,996.4214938268066,89.93746190685783,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,10mibuffer,annualeto,21.705342125228935,Q6,0.1625,0.8375,0.325,1059.8753571807156,1010.3084602880214,1089.3780391042674,79.06957881624601,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,none,annualeto,20.758866634580386,Q6,0.194,0.806,0.388,1071.1340996994406,1022.3861079994109,1097.3665043884707,74.98039638905982,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,10mibuffer,annualeto,22.990223800255762,Q7,0.1415,0.8585,0.283,1047.206204122177,996.6742090900543,1079.2283116407157,82.55410255066136,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,none,annualeto,22.033095743129252,Q6,0.171,0.829,0.342,1060.7704246053418,1009.5121805612646,1091.9829972709003,82.47081670963576,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,10mibuffer,annualprecip,-37.09173470404735,Q1,0.9775,0.0225,0.045,935.3367842528335,1005.5012903941599,880.4837896637268,-125.01750073043308,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,none,annualprecip,-36.775832961002976,Q1,0.982,0.018,0.036,869.5934119352037,938.3674390425285,818.5863060981035,-119.78113294442505,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,10mibuffer,annualprecip,-32.08534781805673,Q1,0.9785,0.0215,0.043,824.6943362591983,882.4656260414392,786.0835645792707,-96.38206146216851,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,none,annualprecip,-32.55548592613591,Q1,0.972,0.028,0.056,876.7969362206036,942.5502220563351,832.8729191711833,-109.67730288515179,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,10mibuffer,annualprecip,-35.994176525074884,Q1,0.96,0.04,0.08,1058.1423348485018,1136.5619850272606,993.0214686299233,-143.54051639733723,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,none,annualprecip,-35.32428659060435,Q1,0.967,0.033,0.066,988.9566606283188,1063.609310039878,926.9367910802364,-136.6725189596416,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,10mibuffer,annualprecip,-13.408394398342933,Q1,0.896,0.104,0.208,608.6063895143981,639.1074461959612,593.1896717933427,-45.917774402618534,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,none,annualprecip,-11.467764550639805,Q1,0.8735,0.1265,0.253,575.1306485986838,599.7734627364142,567.5277428667392,-32.245719869674986,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,10mibuffer,annualprecip,-14.33231481861899,Q1,0.896,0.104,0.208,649.9761656008251,685.9630337488136,630.529718171198,-55.43331557761553,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,none,annualprecip,-14.69841059855213,Q1,0.9135,0.0865,0.173,588.5297127063292,621.9937230822833,566.8687925052384,-55.12493057704489,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,10mibuffer,annualpwd,-73.34545562655414,Q1,0.8745,0.1255,0.251,-35.83347123073208,105.31247022987151,-149.62131369118188,-254.9337839210534,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,none,annualpwd,-75.3111956582643,Q1,0.8755,0.1245,0.249,-106.07805809623349,35.98458711649298,-223.1290023804953,-259.1135894969883,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,10mibuffer,annualpwd,-60.69242454641886,Q1,0.863,0.137,0.274,-157.11448201741536,-39.95013250119955,-241.6008106609736,-201.65067815977403,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Deary,none,annualpwd,-62.739209357811006,Q2,0.856,0.144,0.288,-91.9243155223733,34.687989203953386,-183.75216830860705,-218.44015751256043,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,10mibuffer,annualpwd,-57.40040675660487,Q2,0.8445,0.1555,0.311,103.61139080459004,234.07644933809047,-2.2253012197019872,-236.30175055779245,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
ElkRiver,none,annualpwd,-53.573414542313046,Q2,0.8305,0.1695,0.339,32.25729082605491,157.12527811992913,-69.48470274657011,-226.60998086649926,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,10mibuffer,annualpwd,-38.639919458133576,Q1,0.992,0.008,0.016,-451.2689676663176,-371.2010140920602,-496.1883673109248,-124.9873532188646,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Juliaetta,none,annualpwd,-34.651606719019505,Q1,0.988,0.012,0.024,-496.0034511007569,-422.61264526299664,-529.8387615217316,-107.22611625873498,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,10mibuffer,annualpwd,-41.4304785314878,Q1,0.9925,0.0075,0.015,-397.23003852135196,-310.71117534124073,-448.6985934695177,-137.98741812827694,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Kendrick,none,annualpwd,-40.3967114833652,Q1,0.9945,0.0055,0.011,-472.2407118990125,-387.5184574789813,-525.114204765662,-137.59574728668065,D1,Drought,ID15,"Overall, has it gotten wetter or drier?"
Bovill,10mibuffer,coolseasonanomprecip,-8.451482415142745,Q3,0.706,0.294,0.588,-4.746203430272545e-16,37.965541010553125,-24.67645579589835,-62.64199680645147,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Bovill,none,coolseasonanomprecip,-5.789528433923579,Q3,0.6595,0.3405,0.681,-9.506284648352903e-16,36.44506493272886,-22.28792531825613,-58.73299025098499,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Deary,10mibuffer,coolseasonanomprecip,-2.796168731754193,Q3,0.5775,0.4225,0.845,-9.506284648352903e-16,29.971960219188855,-12.166209194299972,-42.138169413488825,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Deary,none,coolseasonanomprecip,-5.7841150919276885,Q3,0.6575,0.3425,0.685,6.844062353887163e-16,35.10144878967159,-15.61841408740134,-50.719862877072934,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
ElkRiver,10mibuffer,coolseasonanomprecip,-8.108478388647411,Q3,0.677,0.323,0.646,-3.740526407132924e-15,45.82318369882484,-33.21588604760355,-79.0390697464284,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
ElkRiver,none,coolseasonanomprecip,-6.7861344421217655,Q3,0.6595,0.3405,0.681,7.510196168662257e-16,44.13390053647258,-29.536303757255272,-73.67020429372785,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Juliaetta,10mibuffer,coolseasonanomprecip,5.306587035523592,Q5,0.305,0.695,0.61,-1.3322676295501878e-15,8.51191220660353,5.9231133868791,-2.5887988197244294,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Juliaetta,none,coolseasonanomprecip,7.781536905034933,Q6,0.2295,0.7705,0.459,5.703481668432413e-16,3.5187944913583173,12.641489425830363,9.122694934472046,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Kendrick,10mibuffer,coolseasonanomprecip,4.3923612167883235,Q5,0.34,0.66,0.68,-5.229728687143146e-15,13.097246313916004,1.5667969614157715,-11.530449352500233,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Kendrick,none,coolseasonanomprecip,1.697439313258815,Q5,0.424,0.576,0.848,-2.578955567618853e-16,10.651569721545409,1.0617293169208815,-9.589840404624526,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Bovill,10mibuffer,coolseasonprecip,-9.253695223854521,Q2,0.7225,0.2775,0.555,666.7419277412627,704.8312636940354,642.189266887584,-62.6419968064514,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Bovill,none,coolseasonprecip,-6.25371767502082,Q3,0.672,0.328,0.656,612.4310421385699,648.9892959967256,590.2563057457406,-58.732990250984926,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Deary,10mibuffer,coolseasonprecip,-2.9815793339492878,Q3,0.5845,0.4155,0.831,580.6629213825955,610.7358758204556,568.5977064069667,-42.13816941348887,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Deary,none,coolseasonprecip,-5.17602029904864,Q3,0.644,0.356,0.712,625.1831042859503,660.3911691577205,609.6713062806475,-50.719862877072956,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
ElkRiver,10mibuffer,coolseasonprecip,-7.843077305247675,Q3,0.6735,0.3265,0.653,762.2738812461841,808.2407039856913,729.201634239263,-79.03906974642837,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
ElkRiver,none,coolseasonprecip,-7.397319933642414,Q3,0.6735,0.3265,0.653,705.5258048991362,749.7969951331615,676.1267908394336,-73.67020429372792,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Juliaetta,10mibuffer,coolseasonprecip,5.306587035523648,Q5,0.305,0.695,0.61,409.52665388766786,418.12617486311575,415.53737604339136,-2.5887988197243885,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Juliaetta,none,coolseasonprecip,7.674850648449478,Q6,0.2335,0.7665,0.467,384.26173213287706,387.8669833290961,396.9896782635682,9.122694934472065,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Kendrick,10mibuffer,coolseasonprecip,3.9867514366458563,Q5,0.3535,0.6465,0.707,442.7928224407107,455.97810607260624,444.447656720106,-11.530449352500227,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Kendrick,none,coolseasonprecip,1.6563626461559031,Q5,0.427,0.573,0.854,393.86960742348344,404.5999369372492,395.0100965326247,-9.58984040462451,D2,Drought,ID16,"During the winter months, has it become wetter or drier?"
Bovill,10mibuffer,coolseasondrydays1mm,1.5625,Q6,0.155,0.845,0.31,91.36666666666666,86.3,92.7,6.400000000000006,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Bovill,none,coolseasondrydays1mm,2.2727272727272725,Q7,0.062,0.938,0.124,94.03333333333333,88.4,97.5,9.099999999999994,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Deary,10mibuffer,coolseasondrydays1mm,0.8333333333333333,Q6,0.2835,0.7165,0.567,93.73333333333333,88.6,94.1,5.5,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Deary,none,coolseasondrydays1mm,0,Q4,0.4905,0.5095,0.981,92.5,87.7,92.2,4.5,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
ElkRiver,10mibuffer,coolseasondrydays1mm,1.25,Q6,0.2005,0.7995,0.401,89.03333333333333,85.9,87.8,1.8999999999999915,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
ElkRiver,none,coolseasondrydays1mm,1.1111111111111112,Q6,0.221,0.779,0.442,91.76666666666667,89,89.7,0.7000000000000028,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Juliaetta,10mibuffer,coolseasondrydays1mm,1.25,Q6,0.186,0.814,0.372,103.86666666666666,98.9,105,6.099999999999994,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Juliaetta,none,coolseasondrydays1mm,1.1764705882352942,Q6,0.195,0.805,0.39,106.3,101.7,107.4,5.700000000000003,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Kendrick,10mibuffer,coolseasondrydays1mm,0.5555555555555556,Q5,0.338,0.662,0.676,100.2,94.7,101.3,6.599999999999994,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Kendrick,none,coolseasondrydays1mm,1.6666666666666665,Q7,0.118,0.882,0.236,104.43333333333334,100.4,105.2,4.799999999999997,D3,Drought,IDI6a,"If winter has changed, how frequently is it drier?"
Bovill,10mibuffer,precipCOMwydoy,-4.511459461459519,Q1,0.921,0.079,0.158,138.99748079523465,142.15256538222053,134.723952940866,-7.428612441354517,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Bovill,none,precipCOMwydoy,-4.917479691255698,Q1,0.9245,0.0755,0.151,140.29548014919396,143.5508177629251,135.89326236350107,-7.657555399424041,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Deary,10mibuffer,precipCOMwydoy,-4.7423299713119995,Q1,0.9245,0.0755,0.151,140.3602708096995,143.6717271854168,135.3300180354915,-8.341709149925322,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Deary,none,precipCOMwydoy,-4.62847153297424,Q1,0.9265,0.0735,0.147,139.03037776339204,142.49965635305566,134.02407501632294,-8.475581336732716,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
ElkRiver,10mibuffer,precipCOMwydoy,-3.884013168033789,Q1,0.91,0.09,0.18,138.04249570603656,140.47263519058296,134.76211271362374,-5.710522476959227,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
ElkRiver,none,precipCOMwydoy,-4.093731821798752,Q1,0.911,0.089,0.178,139.1547530313466,141.3600087484791,135.72335864131006,-5.636650107169032,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Juliaetta,10mibuffer,precipCOMwydoy,-5.511013817191644,Q1,0.918,0.082,0.164,144.16110692808937,148.35851835062257,137.79629310774223,-10.562225242880345,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Juliaetta,none,precipCOMwydoy,-5.901737035739192,Q1,0.9135,0.0865,0.173,144.9852871167913,149.54549036346032,137.86723693591506,-11.678253427545258,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Kendrick,10mibuffer,precipCOMwydoy,-5.344597273806784,Q1,0.9225,0.0775,0.155,143.1498008820177,146.99505381490545,137.46555169651626,-9.529502118389189,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Kendrick,none,precipCOMwydoy,-5.639301706940444,Q1,0.9165,0.0835,0.167,144.7939779554039,148.91134454058286,138.47369936227884,-10.437645178304024,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Bovill,10mibuffer,preciponsetwydoy,0.7142857142857142,Q6,0.244,0.756,0.488,12.866666666666667,9.4,17.9,8.499999999999998,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Bovill,none,preciponsetwydoy,0.625,Q6,0.277,0.723,0.554,12.8,9.4,17.7,8.299999999999999,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Deary,10mibuffer,preciponsetwydoy,0.7142857142857142,Q6,0.2525,0.7475,0.505,16.133333333333333,13,18.3,5.300000000000001,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Deary,none,preciponsetwydoy,0.43478260869565216,Q5,0.334,0.666,0.668,15.2,13,18.3,5.300000000000001,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
ElkRiver,10mibuffer,preciponsetwydoy,0.5555555555555556,Q5,0.289,0.711,0.578,11.833333333333334,9.2,17.2,8,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
ElkRiver,none,preciponsetwydoy,0.625,Q6,0.269,0.731,0.538,12.133333333333333,9.2,17.4,8.2,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Juliaetta,10mibuffer,preciponsetwydoy,0.4545454545454546,Q5,0.36,0.64,0.72,18.1,17.2,18.3,1.1000000000000014,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Juliaetta,none,preciponsetwydoy,0,Q4,0.5,0.5,1,18.133333333333333,17.2,18.4,1.1999999999999993,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Kendrick,10mibuffer,preciponsetwydoy,1.1428571428571428,Q6,0.2375,0.7625,0.475,16.866666666666667,13.7,18.4,4.699999999999999,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Kendrick,none,preciponsetwydoy,0.5,Q5,0.3465,0.6535,0.693,18.2,17.2,18.6,1.4000000000000021,D4,Drought,ID17,Has there been a change in when rainfall/snowfall starts during the year?
Bovill,10mibuffer,maxcoolseasondrydur,-0.8333333333333333,Q2,0.7275,0.2725,0.545,17.833333333333332,16,14,-2,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Bovill,none,maxcoolseasondrydur,-1.1111111111111112,Q2,0.782,0.218,0.436,17.733333333333334,15.7,14,-1.6999999999999993,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Deary,10mibuffer,maxcoolseasondrydur,-0.7407407407407407,Q3,0.707,0.293,0.586,18.533333333333335,15.7,15.7,0,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Deary,none,maxcoolseasondrydur,-0.9523809523809523,Q2,0.755,0.245,0.49,18.5,15.8,15.7,-0.10000000000000142,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
ElkRiver,10mibuffer,maxcoolseasondrydur,-0.4545454545454546,Q3,0.6345,0.3655,0.731,18.366666666666667,15.2,16.7,1.5,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
ElkRiver,none,maxcoolseasondrydur,-0.5555555555555556,Q3,0.7035,0.2965,0.593,17.466666666666665,16,16.4,0.3999999999999986,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Juliaetta,10mibuffer,maxcoolseasondrydur,0,Q4,0.4905,0.5095,0.981,19.466666666666665,15.5,19.3,3.8000000000000007,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Juliaetta,none,maxcoolseasondrydur,-0.5,Q3,0.645,0.355,0.71,20,17.4,18.9,1.5,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Kendrick,10mibuffer,maxcoolseasondrydur,-0.6896551724137931,Q3,0.697,0.303,0.606,18.933333333333334,15.5,17.6,2.1000000000000014,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Kendrick,none,maxcoolseasondrydur,0,Q4,0.4905,0.5095,0.981,20.233333333333334,17.2,19.8,2.6000000000000014,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Bovill,10mibuffer,maxdrydur,4.285714285714286,Q6,0.2435,0.7565,0.487,37.333333333333336,27.9,39.8,11.899999999999999,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Bovill,none,maxdrydur,3.5714285714285716,Q6,0.221,0.779,0.442,36.166666666666664,27.9,39.1,11.200000000000003,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Deary,10mibuffer,maxdrydur,4.285714285714286,Q6,0.2145,0.7855,0.429,38.96666666666667,28.3,41.3,12.999999999999996,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Deary,none,maxdrydur,4.166666666666667,Q6,0.231,0.769,0.462,38.96666666666667,28.3,41.3,12.999999999999996,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
ElkRiver,10mibuffer,maxdrydur,2.5925925925925926,Q7,0.1205,0.8795,0.241,36.46666666666667,30.5,34.2,3.700000000000003,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
ElkRiver,none,maxdrydur,2.3529411764705883,Q7,0.036,0.964,0.072,34,29.5,35.5,6,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Juliaetta,10mibuffer,maxdrydur,3,Q5,0.318,0.682,0.636,39.166666666666664,29.5,40,10.5,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Juliaetta,none,maxdrydur,1.9230769230769231,Q7,0.113,0.887,0.226,38.36666666666667,31,38.5,7.5,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Kendrick,10mibuffer,maxdrydur,2.6666666666666665,Q5,0.332,0.668,0.664,38.3,29.2,38.8,9.599999999999998,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
Kendrick,none,maxdrydur,2.4390243902439024,Q5,0.329,0.671,0.658,38.666666666666664,30.3,38.5,8.2,D5,Drought,ID18,Do drier conditions last shorter or longer than you remember?
